CauseId,LangIsoCode,RegionId,CauseName,CauseDesc,CauseActive,CausePredefined,CauseRGBColor,CauseKeyWords,RecordCreation,RecordSync,RecordUpdate
UNKNOWN,spa,base,Desconocida,"No se conoce ni existe aclaración de la causa que provocó el evento. ",1,1,C6E0D5,DESCONOCIDA,"2007-11-21 00:00:00","2009-08-20 16:50:56","2008-01-01 00:00:00"
ATMOSPHCONDITION,spa,base,"Condiciones atmosféricas","Se refiere a condiciones atmosféricas adversas como fuertes lluvias, neblina, vientos, tormenta eléctrica o a una combinación de estos eventos. Puede deberse a circulación regional, oceánica o continental de masas atmosféricas como frentes frios o la zona de convergencia intertropical.",1,1,B2BC4D,CONDATMOSFERICAS,"2007-11-21 00:00:00","2009-08-20 16:50:56","2008-01-01 00:00:00"
BEHAVIOR,spa,base,Comportamiento,"Costumbres o prácticas culturales que inducen la presencia de un evento socio-natural o antrópico. Puede referirse a situaciones de desastre o emergencia causadas por pánico; velas o lámparas para alumbrar; no uso de medidas de precaución; asentamientos humanos en zonas inundables o de laderas deslizables por desconocimiento de sus efectos o transgresión de la norma. Palabras claves: falta de prevención.",1,1,47A5CA,COMPORTAMIENTO,"2007-11-21 00:00:00","2009-08-20 16:50:56","2008-01-01 00:00:00"
CONTAMINATION,spa,base,"Contaminación","Concentración de sustancias contaminantes en el aire, el agua o los suelos, con niveles perjudiciales para la salud humana, para cultivos o especies animales. Puede ser causa de intoxicación, biológico, plaga, etc.",1,1,AB7923,CONTAMINACION,"2007-11-21 00:00:00","2009-08-20 16:50:56","2008-01-01 00:00:00"
SHORTCIRCUIT,spa,base,Cortocircuito,"Circuito que se produce accidentalmente por contacto entre dos conductores de polos opuestos y suele ocasionar una descarga. En viviendas, industria, comercio o en redes eléctricas externas. Como causa de incendios.",1,1,375E71,CORTOCIRCUITO,"2007-11-21 00:00:00","2009-08-20 16:50:56","2008-01-01 00:00:00"
OVERFLOW,spa,base,Desbordamiento,"Subida o creciente de agua, de forma rápida o lenta, sobre pequeñas áreas o vastas regiones, que supera la sección de cauces naturales (ríos, lagos, lagunas), embalses o sistemas de desagüe. Como causa de inundaciones, avenidas torrenciales.",1,1,439500,DESBORDAMIENTO,"2007-11-21 00:00:00","2009-08-20 16:50:56","2008-01-01 00:00:00"
LANDSLIDE,spa,base,Deslizamiento,"Movimiento de masa en la superficie terrestre. Como causa de avenidas torrenciales, tsunami, sedimentación, etc. Palabras claves: derrumbe, asentamiento, corrimiento, reptación, desplazamiento, hundimiento, formación de grietas, colapso de cavernas o minas, caída de rocas, desprendimiento (lento o rápido) sobre vertientes o laderas, de masas de suelo o de rocas, -falla- en cortes o taludes de laderas, vías, canales, excavaciones.",1,1,D3B5B0,DESLIZAMIENTO,"2007-11-21 00:00:00","2009-08-20 16:50:56","2008-01-01 00:00:00"
DETERIORATION,spa,base,Deterioro,"Pérdida o disminución de las condiciones normales de una construcción o infraestructura. Aplicable a edificaciones de vivienda, de servicios, instituciones, así como a sistemas de líneas vitales, redes, puentes, etc. que por causa de su deterioro por uso o por falta de mantenimiento adecuado, conducen a circunstancias propias de ellas o por efectos de un fenómeno externo, a su malfunción, colapso, incendio.",1,1,EE9244,DETERIORO,"2007-11-21 00:00:00","2009-08-20 16:50:56","2008-01-01 00:00:00"
DESIGNERROR,spa,COL-1250694506-colombia_inventario_historico_de_desastres,"Diseño","Errores o fallas en el diseño y/o construcción de obras civiles, instalaciones industriales, sistemas de infraestructura, etc. que conducen a...",1,2,"","",2012-02-16T13:29:12+00:00,"",2012-06-13T16:59:34+00:00
ENSO_KID,spa,base,"El Niño","Fenómeno que genera anomalías globales o regionales en el clima, tales como sequías, olas de calor, epidemias pero también lluvias, inundaciones y aluviones, asi como heladas entre otros. Muchos reportes de periódicos atribuyen períodos de menor o mayor cantidad de lluvias, a El Niño. Se debe ser estricto en incluir sólo los eventos El Niño (o -ENSO-) reportados como tales. Para las dos últimas décadas son: 1982 a 1983 (muy fuerte), 1987 (moderado), 1991 a 1992 (moderado?) y 1997 a 1998 (moderado). Se debe utilizar la causa El Niño o La Niña sólo en aquellos casos donde se haya confirmado con alguna fuente oficial y/o académica, su relación con el evento. Palabras claves: fase cálida de ENOS.",1,1,13CCE4,"ELNIÑO","2007-11-21 00:00:00","2009-08-20 16:50:56","2008-01-01 00:00:00"
ENSO_GIRL,spa,base,"La Niña","Fenómeno -simétrico- a El Niño. Palabras claves: fase fría de ENOS.",1,1,9F7FDC,"LANIÑA","2007-11-21 00:00:00","2009-08-20 16:50:56","2008-01-01 00:00:00"
HUMANERROR,spa,base,"Error humano","Equivocación o acción desacertada en operación de plantas industriales, en manejo de maquinaria o de sistemas de infraestructura que provocan eventos tecnológicos como incendios, explosiones, escapes, accidentes, colapso estructural, etc.",1,1,CD6167,ERRORHUMANO,"2007-11-21 00:00:00","2009-08-20 16:50:56","2008-01-01 00:00:00"
EROSION,spa,base,"Erosión","Desgaste de la superficie terrestre por agentes externos como el agua o el viento. Incluye erosión hídrica, eólica y erosión por aguas subterráneas. Como causa de deslizamiento.",1,1,A3D4AF,EROSION,"2007-11-21 00:00:00","2009-08-20 16:50:56","2008-01-01 00:00:00"
ERUPTION,spa,base,"Actividad volcánica","Erupción o emisión de materias solidas, liquidas o gaseosas por aberturas o grietas de la corteza terrestre. Como causa de avenidas torrenciales, tsunami, contaminación (por gases, caída de cenizas). Palabras claves: emisión de lava, emisión de vapor, emisión de ceniza, emisión de barro (lodo), emisión de agua, emisión de roca.",1,1,B6E200,VOLCAN,"2007-11-21 00:00:00","2009-08-20 16:50:56","2008-01-01 00:00:00"
LEAK,spa,base,Escape,"Derrame o fuga de sustancias tóxicas, líquidas, sólidas o gaseosas, radioactivas o no. Como causa de deslizamientos, incendios, intoxicaciones, etc. Excluye los efectos debidos a -Erupción volcánica-.",1,1,B6E200,ESCAPE,"2007-11-21 00:00:00","2009-08-20 16:50:56","2008-01-01 00:00:00"
EXPLOSION,spa,base,"Explosión","Liberación brusca de una gran cantidad de energía (térmica, química o nuclear), acompañada de estruendo y rotura violenta del recipiente que la contiene, produciendo calor, luz y gases. Como causa de incendios, deslizamientos, etc.",1,1,9DC420,EXPLOSION,"2007-11-21 00:00:00","2009-08-20 16:50:56","2008-01-01 00:00:00"
FAILURE,spa,base,Falla,"Ruptura de la corteza terrestre debida a la acumulación de esfuerzos tectónicos o presión en volcanes. Como causa de sismos. Excluye todo lo que se encuentre como -falla- debida a malfunción de equipos o redes o como causa de deslizamientos.",1,1,1A9727,FALLA,"2007-11-21 00:00:00","2009-08-20 16:50:56","2008-01-01 00:00:00"
FLOOD,spa,base,"Inundación","Anegamiento o cubrimiento con agua de un terreno donde se localizen poblaciones, cultivos, bienes o infraestructura. Como causa de sedimentación, epidemias, deslizamientos.",1,1,95D734,INUNDACION,"2007-11-21 00:00:00","2009-08-20 16:50:56","2008-01-01 00:00:00"
THERMALINVERSION,spa,base,"Inversión térmica","Presencia de una capa de aire caliente entre dos frías, de ocurrencia frecuente en las mañanas frías en valles de escasa circulación atmosférica. Se usa cuado está asociada con contaminantes atmosféricos que causan daños a la salud de los seres vivientes.",1,1,E56EAC,INVTERMICA,"2007-11-21 00:00:00","2009-08-20 16:50:56","2008-01-01 00:00:00"
LOCALIZATION,spa,base,"Localización","Condiciones físicas de emplazamientos de población o infraestructura vulnerables tales como ocupación de áreas inestables o inundables por asentamientos humanos, planificados o nó (barrios legales, invasiones, o sus denominaciones locales como Pueblos Jóvenes, Precarios, Favelas, etc.).",1,1,D6D47A,LOCALIZACION,"2007-11-21 00:00:00","2009-08-20 16:50:56","2008-01-01 00:00:00"
RAIN,spa,base,Lluvias,"Precipitación pluvial. Como causa primaria o disparadora de inundaciones, avenidas torrenciales, deslizamientos, accidentes, etc. Palabras claves: aguacero, chaparrón, chubasco, diluvio, páramo, turbonada.",1,1,0879F0,LLUVIAS,"2007-11-21 00:00:00","2009-08-20 16:50:56","2008-01-01 00:00:00"
