GeographyId,LangIsoCode,RegionId,GeographyCode,GeographyName,GeographyFQName,GeographyLevel,GeographyActive,RecordCreation,RecordSync,RecordUpdate
00001,spa,"",05,Antioquia,Antioquia,0,1,"2009-11-11 18:32:35","2009-11-11 18:32:35",2010-01-25T15:53:26+00:00
00002,spa,"",08,"Atlántico","Atlántico",0,1,"2009-11-11 18:32:35","2009-11-11 18:32:35",2010-01-25T15:53:26+00:00
00003,spa,"",11,"Bogotá D.C.","Bogotá D.C.",0,1,"2009-11-11 18:32:35","2009-11-11 18:32:35",2010-01-25T15:53:26+00:00
00004,spa,"",13,"Bolívar","Bolívar",0,1,"2009-11-11 18:32:35","2009-11-11 18:32:35",2010-01-25T15:53:26+00:00
00005,spa,"",15,"Boyacá","Boyacá",0,1,"2009-11-11 18:32:35","2009-11-11 18:32:35",2010-01-25T15:53:27+00:00
00006,spa,"",17,Caldas,Caldas,0,1,"2009-11-11 18:32:35","2009-11-11 18:32:35",2010-01-25T15:53:27+00:00
00007,spa,"",18,"Caquetá","Caquetá",0,1,"2009-11-11 18:32:35","2009-11-11 18:32:35",2010-01-25T15:53:27+00:00
00008,spa,"",19,Cauca,Cauca,0,1,"2009-11-11 18:32:35","2009-11-11 18:32:35",2010-01-25T15:53:27+00:00
00009,spa,"",20,Cesar,Cesar,0,1,"2009-11-11 18:32:35","2009-11-11 18:32:35",2010-01-25T15:53:27+00:00
00010,spa,"",23,"Córdoba","Córdoba",0,1,"2009-11-11 18:32:35","2009-11-11 18:32:35",2010-01-25T15:53:27+00:00
00011,spa,"",25,Cundinamarca,Cundinamarca,0,1,"2009-11-11 18:32:35","2009-11-11 18:32:35",2010-01-25T15:53:27+00:00
00012,spa,"",27,"Chocó","Chocó",0,1,"2009-11-11 18:32:35","2009-11-11 18:32:35",2010-01-25T15:53:27+00:00
00013,spa,"",41,Huila,Huila,0,1,"2009-11-11 18:32:35","2009-11-11 18:32:35",2010-01-25T15:53:27+00:00
00014,spa,"",44,"La Guajira","La Guajira",0,1,"2009-11-11 18:32:35","2009-11-11 18:32:35",2010-01-25T15:53:27+00:00
00015,spa,"",47,Magdalena,Magdalena,0,1,"2009-11-11 18:32:35","2009-11-11 18:32:35",2010-01-25T15:53:28+00:00
00016,spa,"",50,Meta,Meta,0,1,"2009-11-11 18:32:35","2009-11-11 18:32:35",2010-01-25T15:53:28+00:00
00017,spa,"",52,"Nariño","Nariño",0,1,"2009-11-11 18:32:35","2009-11-11 18:32:35",2010-01-25T15:53:28+00:00
00018,spa,"",54,"Norte de Santander","Norte de Santander",0,1,"2009-11-11 18:32:35","2009-11-11 18:32:35",2010-01-25T15:53:28+00:00
00019,spa,"",63,Quindio,Quindio,0,1,"2009-11-11 18:32:35","2009-11-11 18:32:35",2010-01-25T15:53:28+00:00
00020,spa,"",66,Risaralda,Risaralda,0,1,"2009-11-11 18:32:35","2009-11-11 18:32:35",2010-01-25T15:53:29+00:00
00021,spa,"",68,Santander,Santander,0,1,"2009-11-11 18:32:35","2009-11-11 18:32:35",2010-01-25T15:53:29+00:00
00022,spa,"",70,Sucre,Sucre,0,1,"2009-11-11 18:32:35","2009-11-11 18:32:35",2010-01-25T15:53:29+00:00
00023,spa,"",73,Tolima,Tolima,0,1,"2009-11-11 18:32:35","2009-11-11 18:32:35",2010-01-25T15:53:29+00:00
00024,spa,"",76,"Valle del Cauca","Valle del Cauca",0,1,"2009-11-11 18:32:35","2009-11-11 18:32:35",2010-01-25T15:53:29+00:00
